### CMD: docker exec pw-control-plane sh -lc ctr -n k8s.io images ls || true
### DATE: 2026-02-19T10:02:09+01:00

REF                                                                                                                        TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                                                           LABELS                                                          
docker.io/library/playwright-wrapper:local-20260218-104320                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-104548                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-111304                                                                 application/vnd.oci.image.manifest.v1+json                sha256:4155a9738d0c411c5cd24af5d313b4a195f5ef57b6e7157e30b62a0105e0fa70 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-111747                                                                 application/vnd.oci.image.manifest.v1+json                sha256:9b8140a4cddb1ffa125fc1d9f695b2e630407438ba67a410e559a18ff8fc73a0 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-add-sse-20260217-184004                                                         application/vnd.oci.image.manifest.v1+json                sha256:f4e33c69690a782076261541400dbfbf92cd14756a590f5b3e90b4dd1e77116e 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-add-sse-fixheader-20260217-184902                                               application/vnd.oci.image.manifest.v1+json                sha256:1a522e6cc9388f30adb8692714c7edc977a806590c2f187967d35fe5f5304e00 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-health-noauth-20260217-181700                                                   application/vnd.oci.image.manifest.v1+json                sha256:03e8ea48fdb97ef4885f8646c29be9e0703b66d87fe703098e9da85b60ecd310 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-mcpfix-20260217-182707                                                          application/vnd.oci.image.manifest.v1+json                sha256:e31969efbc288c31c456fa3fd4117b2aaed779df377c11348e0499f4874a1b75 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-mcphostfix2-20260217-183014                                                     application/vnd.oci.image.manifest.v1+json                sha256:5f452ec72619aa37edd166280b4d29be2aa19412c74a52cbf59e5fb33f0094c5 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-sse-argfix2-20260217-190023                                                     application/vnd.oci.image.manifest.v1+json                sha256:c7d497b2198f1ace74ed6943bc2304eaf5025317b74fc93b2d92d1945d1c5e7e 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
